Date,Open,High,Low,Close,Adj Close,Volume
2024-04-24,1295.000000,1317.250000,1280.900024,1311.000000,1311.000000,366978
2024-04-25,1309.949951,1316.250000,1287.000000,1310.900024,1310.900024,281549
2024-04-26,1291.000000,1360.000000,1291.000000,1354.900024,1354.900024,562076
2024-04-29,1362.800049,1374.750000,1322.300049,1327.050049,1327.050049,401616
2024-04-30,1331.250000,1390.000000,1318.599976,1380.250000,1380.250000,815384
2024-05-02,1375.949951,1415.000000,1354.349976,1400.849976,1400.849976,698169
2024-05-03,1411.849976,1478.250000,1400.500000,1460.599976,1460.599976,2627902
2024-05-06,1482.000000,1566.000000,1427.300049,1557.500000,1557.500000,1891822
2024-05-07,1548.599976,1559.000000,1421.650024,1470.650024,1470.650024,1804645
2024-05-08,1470.000000,1562.849976,1422.000000,1546.800049,1546.800049,1535933
2024-05-09,1540.000000,1541.800049,1461.150024,1488.550049,1488.550049,1244138
2024-05-10,1488.550049,1537.250000,1426.150024,1519.599976,1519.599976,1082573
2024-05-13,1480.000000,1499.750000,1426.949951,1482.599976,1482.599976,1185236
2024-05-14,1482.599976,1539.000000,1477.099976,1490.300049,1490.300049,864669
2024-05-15,1492.449951,1557.000000,1480.050049,1545.050049,1545.050049,1072564
2024-05-16,1555.000000,1582.400024,1515.000000,1524.800049,1524.800049,1195071
2024-05-17,1530.000000,1590.000000,1510.050049,1561.400024,1561.400024,888136
2024-05-21,1600.199951,1634.849976,1556.349976,1598.900024,1598.900024,811232
2024-05-22,1599.949951,1645.000000,1580.000000,1603.550049,1603.550049,1465733
2024-05-23,1615.000000,1676.000000,1597.500000,1658.500000,1658.500000,711000
2024-05-24,1652.050049,1674.000000,1600.000000,1618.449951,1618.449951,795315
2024-05-27,1637.900024,1649.400024,1603.050049,1611.500000,1611.500000,732570
2024-05-28,1611.500000,1633.050049,1503.000000,1552.050049,1552.050049,601868
2024-05-29,1534.599976,1600.400024,1496.900024,1505.099976,1505.099976,1570831
2024-05-30,1512.650024,1552.000000,1506.349976,1538.250000,1538.250000,941306
2024-05-31,1579.000000,1624.900024,1561.849976,1597.550049,1597.550049,1529688
2024-06-03,1675.000000,1785.000000,1664.099976,1735.199951,1735.199951,2148632
2024-06-04,1749.800049,1749.800049,1388.199951,1511.750000,1511.750000,1835536
2024-06-05,1506.050049,1736.300049,1386.050049,1643.099976,1643.099976,2045541
2024-06-06,1698.550049,1798.800049,1685.000000,1759.349976,1759.349976,1288450
2024-06-07,1784.000000,1822.000000,1723.400024,1761.000000,1761.000000,1175405
2024-06-10,1771.949951,1870.000000,1767.599976,1841.349976,1841.349976,1800712
2024-06-11,1877.900024,1899.449951,1843.550049,1872.250000,1872.250000,979758
2024-06-12,1867.599976,1870.000000,1802.349976,1847.750000,1847.750000,1427538
2024-06-13,1869.949951,1910.000000,1854.199951,1872.599976,1872.599976,1025720
2024-06-14,1910.949951,1998.000000,1901.000000,1926.849976,1926.849976,1887272
