date,rank,symbol,ltp,pct_chg,volume,value_cr,scan_clause,name,pct_change,tag,source,fetched_at,close,close_x_volume
2026-07-03,23,SHILPAMED,608.95,1.35,1296612.0,78.96,t1_5pct_liq1cr,Shilpa Medicare Limited,,t1_5pct_liq1cr,chartink,,,
2026-07-03,24,J&KBANK,165.2,0.3,4551951.0,75.2,t1_5pct_liq1cr,The Jammu & Kashmir Bank Limited,,t1_5pct_liq1cr,chartink,,,
2026-07-03,25,GCSL,490.45,6.61,1522580.0,74.67,t1_5pct_liq1cr,Gretex Corporate Services Ltd,,t1_5pct_liq1cr,chartink,,,
2026-07-06,1,DIGITIDE,120.55,17.93,70931051.0,855.07,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,2,LODHA,1095.9,3.68,6269479.0,687.07,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,3,KAYNES,3359.2,0.76,1176993.0,395.38,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,4,ZENSARTECH,477.95,-7.39,7480922.0,357.55,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,5,HCLTECH,1134.2,-0.42,2747815.0,311.66,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,6,AEGISVOPAK,279.97,8.76,11087829.0,310.43,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,7,MOSCHIP,231.99,3.78,12376050.0,287.11,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,8,M&MFIN,331.8,-0.67,5611074.0,186.18,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,9,IKIO,199.41,-1.68,8155813.0,162.64,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,10,RAYMONDREL,702.8,3.96,2267721.0,159.38,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,11,SUMICHEM,484.05,-3.63,3145917.0,152.28,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,12,SOLARWORLD,209.41,-0.05,7145535.0,149.63,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,13,DECNGOLD,203.94,4.34,3494294.0,71.26,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,14,GANECOS,1075.9,4.69,568691.0,61.19,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,15,FILATEX,58.78,5.06,9212487.0,54.15,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,16,ECLERX,1498.3,0.64,325951.0,48.84,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,17,SUVEN,314.5,-4.0,1479375.0,46.53,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,18,INDOFARM,166.99,2.07,2298397.0,38.38,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,19,SPANDANA,310.55,2.9,1177621.0,36.57,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,20,COMSYN,190.81,-4.74,1814976.0,34.63,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,21,AMIRCHAND,170.23,4.98,1887048.0,32.12,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,22,PATELRMART,239.26,1.24,1314554.0,31.45,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,23,GCSL,491.2,0.15,605638.0,29.75,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,24,GOLDIAM,464.8,-3.25,608570.0,28.29,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-06,25,SEIL,234.87,0.34,1063790.0,24.99,t1_5pct_liq1cr,,,t1_5pct_liq1cr,chartink,2026-07-07T00:00:00Z,,
2026-07-07,1,DIXON,13304.0,6.81,1287795.0,1713.28,,,,t0_5pct_liq1cr,,,,
2026-07-07,2,CUPID,213.09,7.17,65084299.0,1386.88,,,,t0_5pct_liq1cr,,,,
2026-07-07,3,WELCORP,1543.6,7.25,6774569.0,1045.72,,,,t0_5pct_liq1cr,,,,
2026-07-07,4,DIGITIDE,120.55,17.93,70931051.0,855.07,,,,t0_5pct_liq1cr,,,,
2026-07-07,5,AEGISLOG,1409.2,6.32,3517607.0,495.7,,,,t0_5pct_liq1cr,,,,
2026-07-07,6,MUNJALAU,110.39,11.07,42418989.0,468.26,,,,t0_5pct_liq1cr,,,,
2026-07-07,7,ZENTEC,1852.8,6.07,2443033.0,452.65,,,,t0_5pct_liq1cr,,,,
2026-07-07,8,RADICO,4106.7,5.51,975908.0,400.78,,,,t0_5pct_liq1cr,,,,
2026-07-07,9,MANAPPURAM,346.1,5.45,10943853.0,378.77,,,,t0_5pct_liq1cr,,,,
2026-07-07,10,AEGISVOPAK,279.97,8.76,11087829.0,310.43,,,,t0_5pct_liq1cr,,,,
2026-07-07,11,RAMCOSYS,879.55,10.0,3507615.0,308.51,,,,t0_5pct_liq1cr,,,,
2026-07-07,12,DIACABS,218.77,10.0,13219723.0,289.21,,,,t0_5pct_liq1cr,,,,
2026-07-07,13,LLOYDSENGG,90.38,7.67,31471392.0,284.44,,,,t0_5pct_liq1cr,,,,
2026-07-07,14,DALMIASUG,374.9,9.91,7071673.0,265.12,,,,t0_5pct_liq1cr,,,,
2026-07-07,15,SPARC,261.71,9.33,9651891.0,252.6,,,,t0_5pct_liq1cr,,,,
2026-07-07,16,SWANCORP,333.6,7.3,7274745.0,242.69,,,,t0_5pct_liq1cr,,,,
2026-07-07,17,TARSONS,293.15,9.96,8223180.0,241.06,,,,t0_5pct_liq1cr,,,,
2026-07-07,18,TDPOWERSYS,1174.2,7.55,2017728.0,236.92,,,,t0_5pct_liq1cr,,,,
