SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,snapshot_dt
TITAN,EQ,2675,2722,2670,2707.25,2710,2683.45,814553,2203870112,24-May-23,43954,24/05/23
TITAN,EQ,2714.45,2720,2682,2707.95,2710,2707.25,651488,1754543905,25-May-23,37505,25/05/23
TITAN,EQ,2707.95,2759.7,2699.15,2742.15,2740.25,2707.95,811400,2220901707,26-May-23,56724,26/05/23
TITAN,EQ,2745,2821.8,2745,2812.25,2813.95,2742.15,1107678,3089168390,29-May-23,62993,29/05/23
TITAN,EQ,2829.5,2841.9,2797.7,2802.5,2802,2812.25,1263691,3559316805,30-May-23,70847,30/05/23
TITAN,EQ,2802.5,2832.1,2790.1,2823.25,2819,2802.5,1394580,3927448262,31-May-23,59853,31/05/23
TITAN,EQ,2823.25,2837.65,2814.7,2827.25,2820,2823.25,538550,1521355131,01-Jun-23,52732,01/06/23
TITAN,EQ,2830,2871,2826.45,2861.65,2858,2827.25,1116501,3187019131,02-Jun-23,93466,02/06/23
TITAN,EQ,2875,2875,2840,2855.7,2853.8,2861.65,724102,2067050146,05-Jun-23,51244,05/06/23
TITAN,EQ,2860.95,2893,2858.3,2881.45,2883,2855.7,1148132,3304449530,06-Jun-23,57854,06/06/23
TITAN,EQ,2895,2910,2870,2906.95,2905,2881.45,862821,2497200079,07-Jun-23,55818,07/06/23
TITAN,EQ,2906.9,2921.85,2871.05,2877,2874.5,2906.95,560514,1623865254,08-Jun-23,53768,08/06/23
TITAN,EQ,2890,2919.95,2863.25,2876.25,2878.8,2877,727880,2102950744,09-Jun-23,51540,09/06/23
TITAN,EQ,2884.95,2885.45,2833.25,2852.6,2857.4,2876.25,1112274,3168673942,12-Jun-23,72723,12/06/23
TITAN,EQ,2859.9,2918,2855.1,2912.5,2908.5,2852.6,776313,2255291380,13-Jun-23,62355,13/06/23
TITAN,EQ,2920,2928.2,2897,2907.05,2908,2912.5,617700,1795429833,14-Jun-23,52853,14/06/23
TITAN,EQ,2911.05,2924.65,2900,2908,2906.15,2907.05,564711,1644205347,15-Jun-23,53202,15/06/23
TITAN,EQ,2911.8,2960,2911.8,2954.3,2959,2908,1022389,3007405052,16-Jun-23,66580,16/06/23
TITAN,EQ,2967,3024.4,2963.35,2968.6,2971,2954.3,1382633,4136032048,19-Jun-23,73859,19/06/23
TITAN,EQ,2972.7,2986.35,2948.3,2974,2978,2968.6,672298,1994524730,20-Jun-23,48830,20/06/23
TITAN,EQ,2974,2985,2958.15,2971.1,2966.25,2974,509602,1514092006,21-Jun-23,46756,21/06/23
TITAN,EQ,2975,2984.75,2955.8,2970.25,2975,2971.1,496441,1476047496,22-Jun-23,49196,22/06/23
TITAN,EQ,2972.5,2981,2932,2939.15,2933.05,2970.25,869340,2556071199,23-Jun-23,68896,23/06/23
TITAN,EQ,2940,2981,2940,2972.6,2981,2939.15,839713,2490761337,26-Jun-23,48672,26/06/23
TITAN,EQ,2973,2989.2,2940.7,2975.7,2988.9,2972.6,913730,2698843008,27-Jun-23,56159,27/06/23
TITAN,EQ,2995,3044.4,2985.05,3028.1,3031,2975.7,1525117,4612458688,28-Jun-23,113779,28/06/23
TITAN,EQ,3046,3067.95,3029.15,3047.65,3055,3028.1,946112,2884165787,30-Jun-23,75115,30/06/23
TITAN,EQ,3050.1,3054,3026.3,3038.3,3042,3047.65,429100,1304222707,03-Jul-23,55335,03/07/23
TITAN,EQ,3041.5,3090,3039,3074.65,3079,3038.3,1291238,3968749708,04-Jul-23,77735,04/07/23
TITAN,EQ,3075,3113.9,3063,3099.85,3106.8,3074.65,643663,1983157963,05-Jul-23,64781,05/07/23
TITAN,EQ,3100,3111.85,3081.4,3106.4,3106.15,3099.85,976956,3023759891,06-Jul-23,62712,06/07/23
TITAN,EQ,3140,3210,3126.4,3144,3144,3106.4,3630808,11550302098,07-Jul-23,152127,07/07/23
TITAN,EQ,3155,3155,3030.25,3045.55,3052,3144,1777220,5448918221,10-Jul-23,132594,10/07/23
TITAN,EQ,3062.85,3098,3044.8,3087.6,3086.35,3045.55,1141925,3502137395,11-Jul-23,91482,11/07/23
TITAN,EQ,3114,3124,3087.65,3096.5,3098,3087.6,1300168,4033299630,12-Jul-23,90291,12/07/23
TITAN,EQ,3113.95,3114.6,3079.3,3084.75,3090,3096.5,932018,2886204736,13-Jul-23,73745,13/07/23
TITAN,EQ,3093.65,3097.35,3042.6,3055.55,3070,3084.75,721349,2208554418,14-Jul-23,68834,14/07/23
TITAN,EQ,3070,3072.95,3020,3033.45,3027,3055.55,866575,2635620641,17-Jul-23,85730,17/07/23
TITAN,EQ,3033.45,3039.95,2963.4,2996.45,2992.75,3033.45,1359863,4070588684,18-Jul-23,96423,18/07/23
TITAN,EQ,3010.1,3017.4,2985.05,2995.65,2995.05,2996.45,568891,1705746832,19-Jul-23,63323,19/07/23
TITAN,EQ,3002.25,3016.6,2966,2989.3,2990.75,2995.65,1021556,3047674498,20-Jul-23,100521,20/07/23
TITAN,EQ,2990.75,3005,2970,2976.3,2977.8,2989.3,599594,1791425342,21-Jul-23,59051,21/07/23
TITAN,EQ,2978,2992.9,2951.25,2979.2,2985.9,2976.3,523141,1556866526,24-Jul-23,60067,24/07/23
TITAN,EQ,2980,3032.9,2972.75,3029,3030,2979.2,874788,2632298633,25-Jul-23,72141,25/07/23
TITAN,EQ,3044.9,3044.9,2995,3008.35,3008.1,3029,588487,1774940540,26-Jul-23,49420,26/07/23
TITAN,EQ,3013.95,3024.1,2983.65,3002.1,3004,3008.35,595544,1787010850,27-Jul-23,47129,27/07/23
TITAN,EQ,3008.15,3010,2951.7,2987,2986,3002.1,837051,2488062158,28-Jul-23,68404,28/07/23
TITAN,EQ,2950,3017.95,2950,3004.05,3014.9,2987,656048,1960050758,31-Jul-23,55960,31/07/23
TITAN,EQ,3024.85,3027.5,2987.7,3001.9,3006,3004.05,602288,1809700780,01-Aug-23,46366,01/08/23
